-1 1:5.739401 2:4.726571 3:-0.239622 4:0.204927 5:-1.227520 6:-0.977620 7:1.466167 8:-0.287039 9:-0.783668 10:-0.709387 11:-0.395196 12:-0.062405 13:-0.496735 14:-0.548777 15:0.065360 16:-0.159682 17:-0.231521 18:-0.304343 19:-0.156864 20:0.135356 21:0.153352 22:0.365957 23:-0.064534 24:0.116960 25:0.074833 26:-0.046859 27:0.054109 28:0.016582 29:-0.129632 30:-0.128712 31:-0.042957 32:0.181473 33:-0.029530 34:-0.098814 35:-0.058639 36:-0.204820 37:-0.178304 38:0.034090 39:-0.019716 40:0.106866 41:-0.027449 42:0.136203 43:0.085093 44:0.009332 45:-0.046286 46:0.034980 47:0.025553 48:-0.179791 49:0.009727 50:0.067438 51:0.099191 52:-0.030409 53:0.041352 54:-0.053443 55:-0.018133 56:0.015469 57:-0.089010 58:-0.129932 59:0.070068 60:-0.129836 61:0.102139 62:-0.039695 63:0.056093 64:0.014515 65:-0.012664 66:-0.102173 
-1 1:-5.234367 2:0.696724 3:-1.130435 4:-0.030141 5:0.072241 6:-1.045127 7:0.543169 8:-0.342388 9:0.117103 10:-0.161838 11:0.545154 12:0.053269 13:-0.007892 14:0.157072 15:0.254237 16:0.042495 17:0.073011 18:-0.091873 19:0.377547 20:-0.073638 21:-0.135319 22:-0.051428 23:0.260847 24:-0.015695 25:0.027597 26:-0.114760 27:-0.002785 28:-0.022948 29:0.190734 30:-0.075824 31:-0.134641 32:-0.023865 33:0.014264 34:-0.150319 35:-0.044842 36:-0.011138 37:-0.072837 38:0.120639 39:0.056424 40:0.077366 41:-0.235945 42:0.081701 43:-0.007148 44:-0.051170 45:0.105130 46:0.066830 47:-0.159417 48:-0.032123 49:0.036532 50:0.107732 51:0.058299 52:-0.006210 53:0.056934 54:-0.020804 55:-0.104835 56:-0.186839 57:-0.000380 58:0.110507 59:-0.115419 60:-0.070591 61:-0.090456 62:-0.048896 63:0.038782 64:-0.018534 65:-0.004177 66:-0.017849 
-1 1:-6.978000 2:-0.074363 3:-0.582266 4:-0.619291 5:0.149046 6:-0.365084 7:-0.577892 8:-0.112992 9:0.406270 10:0.218636 11:-0.274886 12:-0.007473 13:0.362862 14:-0.218037 15:0.182999 16:0.014357 17:-0.233532 18:-0.272189 19:-0.031020 20:0.058662 21:0.242938 22:0.156207 23:-0.115112 24:0.078334 25:-0.209609 26:0.000989 27:0.013308 28:-0.008668 29:-0.332627 30:-0.036644 31:-0.106858 32:0.019681 33:-0.109894 34:0.177526 35:0.053720 36:0.052266 37:-0.163778 38:0.058229 39:0.058102 40:0.030714 41:0.000934 42:0.234537 43:-0.058750 44:0.180133 45:-0.044073 46:-0.193863 47:0.024887 48:0.079506 49:-0.112101 50:0.157639 51:-0.036665 52:-0.019821 53:-0.006985 54:-0.161175 55:-0.064025 56:0.134561 57:0.036666 58:0.090924 59:-0.040814 60:0.035229 61:0.024913 62:-0.045514 63:-0.020088 64:-0.040003 65:0.027267 66:-0.110937 
-1 1:12.212602 2:-2.569381 3:3.671502 4:-2.493154 5:-4.470462 6:1.645429 7:0.679018 8:1.430334 9:-0.298258 10:0.375419 11:-0.147151 12:0.870241 13:-0.467188 14:0.260925 15:0.338792 16:0.751506 17:-0.553516 18:0.069142 19:0.020138 20:0.231837 21:-0.016454 22:-0.671826 23:0.364862 24:0.132675 25:0.048192 26:0.171457 27:0.239823 28:-0.006478 29:-0.077556 30:-0.032287 31:-0.134642 32:0.193209 33:-0.065850 34:-0.049012 35:0.078245 36:0.085782 37:0.013248 38:-0.031005 39:-0.047389 40:-0.031993 41:0.047538 42:-0.087029 43:0.062801 44:-0.031988 45:-0.023204 46:0.041052 47:-0.087605 48:0.016062 49:-0.013153 50:0.065113 51:-0.048642 52:-0.041010 53:0.045331 54:-0.079100 55:0.073836 56:0.009887 57:-0.027169 58:0.130877 59:0.031997 60:-0.060443 61:0.029586 62:0.071199 63:0.024113 64:0.010371 65:0.055625 66:0.294931 
-1 1:-5.494224 2:-1.164321 3:-0.262574 4:-1.402051 5:-1.693226 6:0.837365 7:0.549811 8:-0.250312 9:-0.475769 10:0.121318 11:0.725539 12:0.431206 13:0.297650 14:-0.299451 15:-0.739680 16:-0.004602 17:0.166508 18:-0.161791 19:0.230855 20:0.247376 21:-0.141772 22:-0.265883 23:-0.160597 24:0.006373 25:-0.159276 26:0.261046 27:-0.292281 28:-0.075449 29:-0.139442 30:-0.001200 31:0.094844 32:-0.247210 33:0.114025 34:0.140996 35:0.018390 36:-0.074163 37:0.124276 38:0.107147 39:0.080701 40:-0.039152 41:0.027322 42:0.062267 43:-0.062417 44:-0.108360 45:-0.088725 46:-0.142563 47:-0.007624 48:-0.093832 49:-0.019195 50:-0.102424 51:0.051464 52:0.037605 53:0.003709 54:0.077207 55:-0.016570 56:-0.011912 57:-0.037461 58:-0.018076 59:-0.004682 60:-0.116264 61:-0.018089 62:-0.028135 63:-0.064002 64:0.005186 65:0.143335 66:0.096959 
-1 1:0.613077 2:4.651897 3:2.170035 4:-0.774536 5:-1.241588 6:-1.671566 7:0.450917 8:0.446681 9:0.510908 10:0.392204 11:-1.324057 12:-0.011484 13:-0.316377 14:-0.338752 15:0.430780 16:0.061441 17:-0.060523 18:-0.121608 19:0.195555 20:0.372201 21:0.176949 22:-0.104936 23:-0.089495 24:-0.188449 25:0.065149 26:-0.481158 27:-0.303421 28:-0.007864 29:0.204469 30:-0.004197 31:-0.139690 32:0.408647 33:0.117410 34:-0.243282 35:0.151121 36:-0.006578 37:0.198584 38:-0.009505 39:-0.062411 40:0.091736 41:-0.010621 42:0.025623 43:-0.153130 44:-0.003577 45:-0.131230 46:0.039033 47:0.098949 48:0.117262 49:-0.004499 50:0.004866 51:-0.101896 52:-0.030972 53:0.068354 54:0.113617 55:-0.116041 56:0.003559 57:0.062645 58:-0.010381 59:0.053387 60:0.012881 61:-0.013101 62:-0.037517 63:-0.030205 64:-0.011286 65:0.037992 66:0.001322 
-1 1:-0.411735 2:1.931568 3:-2.602848 4:-1.397103 5:-0.764105 6:0.334082 7:0.216299 8:-0.933164 9:-0.209614 10:-0.105399 11:0.487962 12:0.358891 13:0.407347 14:0.230703 15:-0.145546 16:0.221829 17:0.262138 18:-0.122952 19:0.128612 20:0.129378 21:-0.091077 22:-0.327151 23:-0.027886 24:0.094744 25:-0.078877 26:-0.103352 27:0.022284 28:0.044965 29:-0.085490 30:0.031575 31:0.015071 32:-0.153835 33:-0.012352 34:0.117692 35:-0.175463 36:-0.039763 37:-0.155431 38:-0.029851 39:-0.205303 40:-0.058378 41:0.025393 42:-0.011965 43:-0.050052 44:-0.136394 45:-0.063335 46:0.019839 47:-0.143236 48:0.039560 49:0.035212 50:-0.035633 51:-0.047673 52:-0.140496 53:-0.054542 54:0.083309 55:-0.040585 56:-0.021640 57:0.031492 58:-0.022007 59:0.026651 60:0.079113 61:0.089174 62:-0.016525 63:0.092517 64:-0.153042 65:0.014598 66:0.004200 
-1 1:-1.660049 2:3.190011 3:0.078428 4:-1.701544 5:-1.164296 6:-0.285591 7:0.088274 8:0.017863 9:0.111187 10:0.433494 11:-0.378961 12:-0.400654 13:0.181862 14:-0.898000 15:-0.120842 16:-0.245480 17:-0.001311 18:0.222178 19:0.093530 20:0.010561 21:-0.241322 22:-0.270479 23:-0.201702 24:-0.081515 25:0.201938 26:-0.089703 27:0.016866 28:-0.229521 29:0.268998 30:-0.014703 31:0.152052 32:0.071883 33:-0.008637 34:0.038289 35:-0.124274 36:-0.032563 37:0.166679 38:0.000508 39:0.191225 40:-0.006668 41:0.051375 42:0.034035 43:0.044530 44:0.065753 45:-0.079016 46:-0.112957 47:-0.086990 48:0.126414 49:-0.218102 50:-0.055961 51:0.161787 52:0.020427 53:-0.096869 54:-0.045902 55:0.086035 56:-0.140373 57:0.073613 58:0.046118 59:0.067218 60:-0.000205 61:0.064905 62:-0.015999 63:0.025266 64:0.010532 65:-0.044620 66:-0.098651 
-1 1:-0.383388 2:3.036313 3:-2.023322 4:-0.087914 5:-1.033531 6:-1.531191 7:1.326461 8:-1.372284 9:0.076483 10:-0.221965 11:0.975250 12:0.472356 13:-0.241599 14:0.767030 15:0.724807 16:-0.119677 17:0.366792 18:-0.057638 19:0.014491 20:-0.174845 21:-0.052442 22:-0.408536 23:-0.270049 24:0.103013 25:0.149334 26:0.221390 27:0.126557 28:-0.091023 29:-0.059727 30:-0.003421 31:-0.027076 32:-0.202026 33:-0.001720 34:-0.033703 35:0.115432 36:-0.041159 37:0.070039 38:-0.119836 39:-0.191986 40:0.043313 41:0.005762 42:-0.091563 43:0.072458 44:0.295416 45:0.161557 46:-0.105184 47:-0.025242 48:0.052834 49:0.114402 50:0.044162 51:0.040988 52:0.039386 53:0.071971 54:-0.042345 55:-0.030937 56:-0.056054 57:0.099544 58:-0.075661 59:0.099336 60:0.027637 61:-0.026310 62:-0.008384 63:-0.000413 64:0.026672 65:0.047903 66:-0.085874 
-1 1:-5.876772 2:-0.337113 3:-2.591081 4:1.476193 5:0.046024 6:-0.943361 7:-0.800974 8:-0.670270 9:-0.197081 10:-0.074071 11:-0.219800 12:0.292149 13:-0.061397 14:-0.609916 15:0.102550 16:-0.047553 17:-0.050623 18:0.087500 19:-0.555864 20:0.072810 21:0.101907 22:-0.186595 23:-0.456100 24:-0.044342 25:0.105705 26:0.030642 27:0.160812 28:0.128840 29:-0.071283 30:0.157431 31:-0.075609 32:0.027219 33:-0.049087 34:0.167106 35:0.006487 36:-0.057330 37:0.154088 38:-0.055203 39:0.004565 40:0.120840 41:0.119966 42:-0.202828 43:-0.035112 44:0.038315 45:-0.133843 46:-0.055976 47:-0.031670 48:0.036729 49:0.065981 50:-0.065156 51:-0.072312 52:-0.007954 53:0.058967 54:0.000489 55:0.010646 56:0.017975 57:-0.151998 58:0.056605 59:-0.067891 60:0.007990 61:-0.032454 62:-0.090529 63:0.125029 64:0.071246 65:-0.011063 66:-0.102083 
