att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,att_28,att_29,att_30,att_31,att_32,att_33,att_34,att_35,att_36,att_37,att_38,att_39,att_40,att_41,att_42,att_43,att_44,att_45,att_46,att_47,att_48,att_49,att_50,att_51,att_52,att_53,att_54,att_55,att_56,att_57,att_58,att_59,att_60,att_61,att_62,att_63,att_64,att_65,att_66,class
7.980261,4.197887,0.771687,3.545645,0.907764,0.580479,-0.675285,-0.579379,0.193952,-0.240711,-0.130084,0.016804,0.624649,0.520855,-0.070466,-0.007793,-0.263636,0.425333,-0.267726,0.332291,-0.00485,-0.273385,-0.277154,-0.361804,0.496737,0.13512,0.116803,0.117448,0.3318,-0.009517,0.146126,-0.168193,0.109357,-0.072754,0.052019,0.243851,0.121106,-0.022413,-0.148658,0.055797,-0.109116,0.188032,-0.13893,0.042265,-0.076484,0.045371,-0.113695,-0.205648,-0.037696,-0.048023,0.056752,-0.07431,-0.064893,-0.064663,0.00299,0.10903,0.012951,0.003653,-0.032961,0.029228,-0.035416,0.013452,0.004191,0.017843,0.01022,-0.035302,-1
-1.858841,2.549942,-0.545993,-1.883214,-0.609841,1.437932,-0.034163,1.179753,-0.483513,-0.234584,0.288437,-0.088474,0.364346,-0.091436,0.54446,-0.275354,-0.055566,0.208076,-0.037757,-0.139478,0.088691,-0.064694,-0.048076,-0.119661,-0.292259,0.000845,0.025464,-0.142558,-0.060004,0.039696,0.032131,0.239787,-0.05651,-0.066238,-0.168499,0.098452,0.090944,-0.080838,-0.092538,0.033155,0.106141,-0.015924,-0.131152,-0.067444,0.009007,-0.014889,0.033113,0.099788,0.036188,0.094442,0.03528,0.068415,-0.084247,-0.047486,0.087385,0.023899,0.089149,-0.156497,-0.167965,-0.075222,-0.056473,0.046076,0.057207,-0.015825,0.019752,-0.046556,-1
8.669611,3.455453,0.512609,0.824016,2.366809,3.317314,-0.792067,0.406084,0.31222,-1.133359,0.284561,0.264079,0.391428,-0.133811,-0.46352,-0.471362,-0.893877,-0.094752,-0.582013,-0.385904,-0.37203,0.124658,-0.011431,-0.065748,0.42885,-0.077656,0.033314,-0.2816,-0.172344,-0.174984,0.002424,0.226309,0.021203,0.228274,0.093374,-0.187871,-0.236049,0.114644,0.028919,0.140309,0.051697,-0.016298,-0.026235,-0.027569,-0.029735,-0.024741,0.022735,0.04094,0.095226,-0.031208,0.063267,0.12315,-0.017029,0.066544,-0.037815,-0.010217,0.036187,0.057514,0.046743,0.040651,-0.081296,0.041121,0.019783,-0.02346,0.024613,-0.29529,-1
3.734314,2.028533,-1.339521,0.319925,0.460345,0.878825,-1.655823,0.676004,0.295103,-0.486158,0.327757,0.026801,0.552437,-0.379577,-0.136521,-0.135904,-0.33745,0.349566,-0.244822,-0.365028,-0.245148,-0.229848,-0.023936,-0.264033,-0.178536,-0.089836,0.209273,-0.002382,0.007477,0.005985,-0.084836,-0.035788,0.08788,0.037969,-0.026097,0.174384,0.009457,0.104452,0.002201,0.062073,-0.019495,-0.143849,-0.119031,0.035052,-0.016524,0.045954,-0.120592,0.080951,0.108962,0.053007,0.037208,0.032284,0.106475,-0.022776,0.003747,-0.039781,-0.080761,-0.044401,-0.05259,0.01358,0.149028,-0.037248,-0.149433,-0.013435,-0.020039,-0.023612,-1
-1.914451,2.173644,2.709653,-1.128316,0.018394,-1.121118,-0.557288,2.217223,-0.818355,-0.141052,-1.144495,-0.409741,0.738425,-0.341944,-0.194535,0.49823,-0.273597,-0.349779,-0.261404,-0.172953,-0.321379,0.166871,-0.531147,-0.464875,-0.089357,-0.300443,0.058426,0.090543,-0.417814,-0.191358,0.105966,-0.312828,0.311435,-0.240927,0.130451,0.096706,-0.080406,0.05339,0.008808,-0.221996,-0.005464,-0.047423,0.185805,0.011167,0.058743,0.04726,-0.104268,0.059756,-0.037401,-0.0691,-0.062865,0.026074,0.024634,-0.033749,-0.019946,0.016385,0.02256,-0.021208,0.002818,-0.027768,-0.036343,-0.000853,0.037644,0.002803,-0.003044,-0.05475,-1
-4.425274,-1.271048,4.097601,1.633925,0.296848,0.489197,1.380125,0.666234,-1.109383,-0.368406,-0.088614,-0.043973,-0.293261,0.304012,-0.065576,1.201022,0.617567,-0.373625,0.182314,-0.108103,0.253272,0.400246,0.13841,-0.031817,0.434273,0.537351,-0.363186,-0.106153,-0.15997,-0.173664,-0.098861,-0.026013,-0.040265,0.119678,-0.118198,-0.03086,0.043338,-0.004376,0.211759,0.133668,0.014086,0.01403,-0.134242,0.127739,-0.047629,0.171672,-0.212632,0.089959,-0.059344,-0.008143,-0.052645,0.023793,0.037661,0.031594,-0.004553,0.006951,-0.000654,-0.066919,-0.006573,0.034419,0.012875,0.039738,0.007102,0.006893,-0.006885,-0.063758,-1
-5.769344,0.429558,-1.108941,-0.575444,-0.154116,0.155334,-1.581921,-0.271744,0.306718,-0.183411,0.462878,-0.041054,-0.139399,0.776544,0.318803,0.072116,0.27699,-0.00591,-0.176342,-0.103812,-0.078906,-0.035413,-0.080048,0.210358,0.296104,-0.167761,0.224217,-0.210833,-0.039277,0.333644,-0.133274,0.002596,-0.010753,0.10479,0.120036,0.068446,-0.191114,0.070097,-0.024276,0.068665,-0.169004,-0.009056,0.157414,0.117488,-0.077799,0.093856,0.038246,0.109195,-0.079989,-0.061938,0.013917,-0.127311,-0.01362,0.170382,0.116051,0.083924,0.050515,0.001679,-0.040196,-0.126763,-0.007178,-0.012492,-0.037115,0.007973,-0.015293,-0.23276,-1
-6.864846,-0.309479,0.54509,0.843713,0.489147,1.108745,-1.250493,-1.191899,0.327654,-0.538479,-0.385409,0.44847,-0.181231,0.090011,0.31647,-0.245483,0.117403,-0.326177,0.170187,0.065698,-0.192541,-0.218548,0.26256,0.40445,0.271612,-0.095665,-0.402161,-0.298989,-0.104299,0.346399,0.255059,-0.175007,-0.048755,-0.313,0.135751,0.18241,-0.032265,0.334576,-0.040757,0.162707,0.21309,-0.040784,0.095873,-0.099426,-0.039243,0.081163,0.058879,-0.002705,-0.016626,0.016521,-0.021587,-0.007521,-0.023094,-0.130987,0.005511,-0.029355,-0.0386,-0.032105,0.007443,0.051332,0.001543,0.00731,-0.001158,0.003666,0.002574,-0.194348,-1
0.536747,0.456287,3.871082,5.863719,-0.348897,-2.370639,0.049258,-0.167077,-1.227026,2.96403,0.780122,-0.35835,1.026082,-0.435151,0.469622,-1.158322,0.783787,0.136729,0.18474,-0.037649,-0.249132,-0.197124,0.701702,-0.071563,0.209067,-0.112213,0.143672,0.240468,-0.259209,-0.434147,0.183612,0.024382,-0.154159,0.046513,-0.033422,0.064029,-0.065842,0.0439,-0.004163,-0.017105,0.023994,-0.054234,0.002138,0.031169,-0.08755,0.029024,0.069573,0.01085,0.04563,-0.024674,-0.012909,0.004694,-0.008768,0.006722,0.010488,0.005803,0.014145,0.005831,0.002967,-0.025507,-0.006565,-0.014423,-0.004303,-0.003563,0.001999,0.064255,+1
2.060264,2.083442,1.255174,4.645426,-0.428153,-2.73152,-1.471382,0.176066,-1.597749,1.097391,0.329165,-0.33452,-1.209525,-0.734777,-0.69082,0.253099,0.015607,-0.132786,-0.483819,-0.464461,-0.772986,-0.103458,0.127774,-0.107004,-0.085665,0.137994,-0.318693,0.08681,0.083457,0.669138,0.008499,0.177424,0.008844,-0.070776,0.078208,-0.031013,-0.067707,-0.09849,0.04624,-0.044808,0.059188,0.132046,-0.038117,-0.023336,0.198621,-0.097185,-0.072474,0.009404,0.04,0.03128,0.004758,-0.025908,0.017611,0.04446,0.029384,0.042431,-0.003492,0.013122,-0.004069,0.00782,0.005404,0.016565,0.005726,-0.013473,0.000593,0.141379,+1
